titulo,url,preco,tipo,bairro,cidade,estado,cep,quartos,banheiros,garagens,area_m2,descricao,imagens
Apartamento com 2 quartos e 60 m² em Tambauzinho,https://pb.olx.com.br/paraiba/imoveis/apartamento-com-2-quartos-e-60-m-em-tambauzinho-1486265495,380000.0,Apartamento,,João Pessoa,PB,58042-070,2.0,,1.0,60.0,"Código do anúncio: AP1835 Apartamento em Tambauzinho localizado a 100 metros do Espaço Cultural.     Detalhes do imóvel   - 70 m²  - Andar alto  - Nascente sul  - 2 quartos sendo 1 suíte  - Varanda  - 1 vaga     Prédio com portaria 24h, 2 elevadores, salão de festas, piscina e churrasqueira.    Valor de condomínio R$ 550,00    Consulte a disponibilidade e obtenha mais informações através dos contatos abaixo     José Carlos - Creci 4551f  83 99904-5189    Tayrone Nobre - Creci 4445f  83 99955-4141    Busca olx Apartamento com 2 quartos em Tambauzinho.       - Cômodos Área de Serviço, Cozinha, Varanda,     - Infraestrutura Piscina, Salão de Festas,",https://img.olx.com.br/images/67/677669865595401.jpg | https://img.olx.com.br/images/68/682636028638831.jpg | https://img.olx.com.br/images/68/683640620610442.jpg | https://img.olx.com.br/images/69/691695500591712.jpg | https://img.olx.com.br/images/68/681615622443555.jpg | https://img.olx.com.br/images/68/686655629167822.jpg | https://img.olx.com.br/images/68/685668388306984.jpg | https://img.olx.com.br/images/69/699666620684394.jpg | https://img.olx.com.br/images/68/688647149050410.jpg | https://img.olx.com.br/images/68/681638506934139.jpg | https://img.olx.com.br/images/68/686698749491924.jpg
Pensionato Feminino em frente à UFPB,https://pb.olx.com.br/paraiba/imoveis/pensionato-feminino-em-frente-a-ufpb-1486265341,595.0,Imóvel,"João Pessoa, Castelo BrancoHoje, 18:05",,,,,,,,,
Apartamento com 2 quartos e 2 garagens no Alto Branco próximo a Ceasa - Oportunidade !!!,https://pb.olx.com.br/paraiba/imoveis/apartamento-com-2-quartos-e-2-garagens-no-alto-branco-proximo-a-ceasa-oportunidade-1486265071,189000.0,Apartamento,,Campina Grande,PB,58401-562,2.0,,2.0,67.0,"Código do anúncio: 1RH6V07 Vendo com preço de oportunidade, apartamento no bairro do Alto Branco, próximo a Ceasa com as seguintes características: - 67 m²; - Nascente sul; - Sala de estar/jantar; - Living; - 2 quartos amplos sendo 1 suíte; - Escritório que também pode ser utilizado como mais 1 quarto; - Banheiro social; - Cozinha com área de serviço; - 2 vagas de garagem. Valor de venda: 189.000,00. Contato: Diego Halule CRECI: 4104-f  (WhatsApp)",https://img.olx.com.br/images/75/752661624999527.jpg | https://img.olx.com.br/images/73/738606389438411.jpg | https://img.olx.com.br/images/74/748699268884717.jpg | https://img.olx.com.br/images/77/772659143441023.jpg | https://img.olx.com.br/images/75/751696027899297.jpg | https://img.olx.com.br/images/75/755638501064430.jpg | https://img.olx.com.br/images/75/757649268155409.jpg | https://img.olx.com.br/images/76/763605145686355.jpg | https://img.olx.com.br/images/73/736603381166242.jpg | https://img.olx.com.br/images/75/758660745830444.jpg | https://img.olx.com.br/images/75/751624869380426.jpg | https://img.olx.com.br/images/74/744646866378799.jpg | https://img.olx.com.br/images/77/778681381535322.jpg
Rio Gurupi - Manaíra - Andar baixo - Leste-Sul - 147m² - 04 quartos s/ 02 suítes + DCE - 0,https://pb.olx.com.br/paraiba/imoveis/rio-gurupi-manaira-andar-baixo-leste-sul-147m-04-quartos-s-02-suites-dce-0-1486264388,730000.0,Imóvel,,João Pessoa,PB,58038-241,4.0,,2.0,147.0,"Código do anúncio: Rio Gurupi* NÃO ALUGAMOS - MANAÍRA - AV. POMBAL - 147M² - 04 QUARTOS S/02 SUÍTES + DCE - ANDAR BAIXO - LESTE-SUL Empreendimento muito bem localizado em Manaíra, na Av. Pombal a poucos metros da praia e em uma região com muitos restaurantes, supermercados, panificadoras, etc. Apartamento em andar baixo, na posição nascente-sul, com 147m² de área privativa, contendo: 4 quartos sendo 02 suítes (01 com varanda), sala em L para 02 ambientes com ampla varanda, WCS, cozinha, área de serviço, DCE e 02 vagas de garagem cobertas. Excelente custo-benefício. Maiores informações ou agendamento de visitas, entre em contato através do  ( 8 3 ) 9 9 9 8 6 - 9 2 1 8 (Whatsapp) CRECI/PB: 871-J - SELECT NEGÓCIOS IMOBILIÁRIOS",https://img.olx.com.br/images/53/536624741094113.jpg | https://img.olx.com.br/images/49/491663021802080.jpg | https://img.olx.com.br/images/49/497643388534516.jpg | https://img.olx.com.br/images/67/675646501913725.jpg | https://img.olx.com.br/images/34/347639146217254.jpg | https://img.olx.com.br/images/51/515668742018245.jpg | https://img.olx.com.br/images/65/659619265319161.jpg | https://img.olx.com.br/images/50/500682384187310.jpg | https://img.olx.com.br/images/48/489688622393181.jpg | https://img.olx.com.br/images/41/418634621347073.jpg | https://img.olx.com.br/images/46/466643148367656.jpg | https://img.olx.com.br/images/43/430680383201304.jpg | https://img.olx.com.br/images/40/408681149089619.jpg
Apartamento Todo Mobiliado - 23º Andar / Aceitamos propostas,https://pb.olx.com.br/paraiba/imoveis/apartamento-todo-mobiliado-23-andar-aceitamos-propostas-1476435027,4100.0,Apartamento,"João Pessoa, BrisamarHoje, 18:02",,,,,,,250.0,,
Aluguel turno manhã ,https://pb.olx.com.br/paraiba/comercio-e-industria/aluguel-turno-manha-1486263589,1100.0,Imóvel,,João Pessoa,PB,58051-290,,,,,Tenho um espaço de atendimento para consultorias no período da manhã.,https://img.olx.com.br/images/47/478604621994066.jpg | https://img.olx.com.br/images/49/492636749600766.jpg | https://img.olx.com.br/images/50/507666743437921.jpg
Apartamento novo e 100% mobiliado no Bessa-Joao Pessoa/PB,https://pb.olx.com.br/paraiba/imoveis/apartamento-novo-e-100-mobiliado-no-bessa-joao-pessoa-pb-1483851556,750000.0,Apartamento,,João Pessoa,PB,58037-730,,,,,"Imóvel com apenas 1,5 anos, distante cerca de 700 metros da praia e de alto padrão.",https://img.olx.com.br/images/80/802682386356776.jpg | https://img.olx.com.br/images/79/795633623818443.jpg | https://img.olx.com.br/images/79/796607744085548.jpg | https://img.olx.com.br/images/78/782651508997314.jpg | https://img.olx.com.br/images/80/805643148126486.jpg | https://img.olx.com.br/images/79/796661506492490.jpg | https://img.olx.com.br/images/79/798653505457103.jpg | https://img.olx.com.br/images/79/792681265552044.jpg | https://img.olx.com.br/images/79/790694143789134.jpg | https://img.olx.com.br/images/79/799635266876852.jpg | https://img.olx.com.br/images/80/806661380318841.jpg
Vendo este lindo apartamento com varanda,https://pb.olx.com.br/paraiba/imoveis/vendo-este-lindo-apartamento-com-varanda-1477409085,339000.0,Apartamento,"Campina Grande, LiberdadeHoje, 17:51",,,,,,,262.0,,
Neo Residence - Altiplano - Alto luxo - 404m²- 04 Suítes + DCE - 01 por Andar - Condominiu,https://pb.olx.com.br/paraiba/imoveis/neo-residence-altiplano-alto-luxo-404m-04-suites-dce-01-por-andar-condominiu-1486261661,4900000.0,Imóvel,,João Pessoa,PB,58046-075,4.0,2.0,,404.0,"Código do anúncio: Neo Residence* ALTIPLANO - 01 POR ANDAR - ALTO LUXO - OPÇÕES EM ANDARES INTERMEDIÁRIOS E ALTOS Inspirado no design das maiores grifes globais, uma fusão de arquitetura/arte, design e engenharia de ponta. O Neo Residence se apresenta como um dos edifícios residenciais mais altos e sofisticados do Brasil. O primeiro do norte-nordeste com a tecnologia alemã embarcada da Schuco. Desenvolvido para os padrões da mais alta exigência de conforto e segurança.  Cada uma das suas 40 unidades têm nada menos que 409m², 4 suítes (a máster com 2 banheiros interligados), cozinhas integradas ou não (dependendo da versão da planta), sala com três amplos ambientes e cinematográfico pé-direito duplo, ou seja, um grau de sofisticação inédito mesmo para as construções triple A.   A generosa altura da sala dos apartamentos é responsável pelo escalonamento de lajes da fachada que dá à torre um desenho inovador onde vidros, transparências, brilhos são o ponto alto do design contemporâneo. Sob a batuta do festejado arquiteto Leonardo Maia, do escritório L. Maia Arquitetura, o NEO Residence é resultado de uma árdua pesquisa sobre como seria a planta ideal para espaços tão exclusivos.  As áreas comuns do Neo Residence são um capítulo à parte:  O elegante salão de festas é descolado do prédio. Os convidados chegam até ele sem passar pelo lobby. Eles entram pelo port cochere, acessam a portaria e chegam ao evento.  Terraço ao ar livre  Espaço gourmet com área barbecue  Quadras de squash e poliesportiva  Pista de cooper que circunda a torre  Piscina com raia e borda infinita  Bar molhado  Cinema com poltronas confortáveis  Sala de estudo  Sala de videogame  Estúdio de música  Garage Band  Brinquedoteca  Playground  2 pisos de garagem com rampa espaçosa  Box garagem  Elevadores de alta performance com velocidade de 180 metros por minuto com reconhecimento facial, biométrico ou senha. O de serviço é grande suficiente para transportar uma maca.   O pavimento de bem-estar localizado no 420 andar, na cobertura, proporciona visão panorâmica da cidade de João Pessoa. Ali ficam o skybar de frente para 2 jacuzzis com vista para o mar, varanda, sauna e sala de massagens. A academia, com aparelhos de última geração, tem pé-direito duplo e impressionante vista de 360 graus para a cidade. O projeto de paisagismo é assinado por Alex Hanazaki, considerado um dos nomes do Brasil nesse assunto. Seu escritório em São Paulo foi duas vezes vencedor do prêmio Professional Awards da ASLA (American Society of Landscape Architects), a mais respeitada associação de paisagismo do mundo.s. Dispomos de unidades em andares intermediários e altos, com linda vista para o mar. Para maiores informações e agendamento de visitas, entre em contato através do (8 3) - 9 9 9 8 6 - 9 2 1 8 (Whatsapp)  CRECI/PB: 871-J - SELECT NEGÓCIOS IMOBILIÁRIOS",https://img.olx.com.br/images/83/837645744916605.jpg | https://img.olx.com.br/images/89/896655143705520.jpg | https://img.olx.com.br/images/84/840661383092980.jpg | https://img.olx.com.br/images/83/831675867455428.jpg | https://img.olx.com.br/images/87/874622746833900.jpg | https://img.olx.com.br/images/87/874609143869851.jpg | https://img.olx.com.br/images/88/882652622567089.jpg | https://img.olx.com.br/images/82/826628744909273.jpg | https://img.olx.com.br/images/83/836688262583931.jpg | https://img.olx.com.br/images/84/845643382971196.jpg | https://img.olx.com.br/images/84/842650507828807.jpg | https://img.olx.com.br/images/83/837612747031885.jpg | https://img.olx.com.br/images/84/846641621497912.jpg | https://img.olx.com.br/images/87/874662389873240.jpg | https://img.olx.com.br/images/84/840603628752484.jpg | https://img.olx.com.br/images/84/845641266931523.jpg | https://img.olx.com.br/images/88/880612622794852.jpg | https://img.olx.com.br/images/83/834666269268023.jpg | https://img.olx.com.br/images/84/849655627470206.jpg | https://img.olx.com.br/images/84/841699740462010.jpg
Apartamento de 2 quartos para locação em Ponta de Campina,https://pb.olx.com.br/paraiba/imoveis/apartamento-de-2-quartos-para-locacao-em-ponta-de-campina-1486261582,2400.0,Apartamento,"Cabedelo, Ponta de CampinaHoje, 17:50",,,,2.0,,,263.0,,
